,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
46,95,3,290208.0,5,4.0,2,2,0,4,1,0.0,0.0,40.0,25,<=50K
47,110,3,186272.0,15,10.0,2,13,0,4,1,3908.0,0.0,50.0,38,<=50K
48,108,3,201062.0,1,7.0,5,8,1,2,0,0.0,0.0,18.0,38,<=50K
49,112,4,131916.0,11,9.0,6,3,1,4,0,0.0,0.0,50.0,38,<=50K
50,74,3,54440.0,15,10.0,4,7,3,4,1,0.0,0.0,20.0,38,<=50K
51,95,3,280215.0,11,9.0,0,5,3,2,1,0.0,0.0,40.0,38,<=50K
52,77,3,214399.0,15,10.0,4,7,3,4,0,0.0,1721.0,24.0,38,<=50K
53,78,3,54164.0,11,9.0,4,7,1,4,1,14084.0,0.0,60.0,38,>50K
54,94,3,219446.0,6,5.0,3,3,1,4,1,0.0,0.0,54.0,25,<=50K
55,77,3,110677.0,15,10.0,4,0,3,4,0,0.0,0.0,40.0,38,<=50K
56,119,3,145985.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,38,<=50K
57,90,1,382078.0,9,13.0,2,3,0,4,1,3103.0,0.0,50.0,38,>50K
58,98,4,170721.0,11,9.0,2,3,0,4,1,5178.0,0.0,50.0,38,>50K
59,89,3,269705.0,11,9.0,2,5,0,4,1,0.0,0.0,40.0,38,<=50K
60,86,3,101135.0,9,13.0,4,3,1,4,0,0.0,0.0,50.0,38,<=50K
61,95,3,118429.0,15,10.0,0,11,1,4,1,0.0,0.0,40.0,38,<=50K
62,82,3,31208.0,12,14.0,4,3,1,4,0,0.0,0.0,40.0,38,<=50K
63,89,3,281384.0,11,9.0,4,6,3,4,0,0.0,0.0,40.0,38,<=50K
64,103,1,171807.0,11,9.0,0,0,1,4,0,0.0,0.0,40.0,38,<=50K
65,97,3,109912.0,9,13.0,4,7,1,4,0,0.0,0.0,40.0,38,<=50K
66,97,4,445382.0,7,12.0,2,2,0,4,1,15024.0,0.0,60.0,38,>50K
67,75,3,105460.0,15,10.0,4,7,3,4,1,0.0,0.0,20.0,38,<=50K
68,102,3,170338.0,11,9.0,5,13,1,4,1,0.0,0.0,40.0,38,<=50K
69,99,3,102606.0,11,9.0,2,11,0,4,1,0.0,0.0,48.0,38,<=50K
70,111,3,323887.0,15,10.0,2,3,0,4,1,15024.0,0.0,45.0,38,>50K
71,102,3,175622.0,8,11.0,2,12,0,4,1,0.0,0.0,40.0,38,<=50K
72,86,3,229636.0,11,9.0,2,6,0,4,1,0.0,0.0,40.0,25,<=50K
73,77,3,388946.0,15,10.0,5,5,1,4,0,0.0,0.0,40.0,38,<=50K
74,102,3,269034.0,15,10.0,2,2,0,3,1,0.0,0.0,40.0,5,<=50K
75,73,3,165361.0,0,6.0,4,9,3,4,1,0.0,0.0,40.0,38,<=50K
76,97,3,75012.0,11,9.0,2,6,0,4,1,0.0,0.0,50.0,38,<=50K
77,125,4,174379.0,11,9.0,2,11,0,4,1,0.0,0.0,30.0,38,<=50K
78,106,3,312477.0,11,9.0,2,13,0,4,1,0.0,0.0,40.0,38,<=50K
79,76,3,72055.0,15,10.0,4,0,1,4,0,0.0,0.0,40.0,38,<=50K
80,101,4,67001.0,15,10.0,2,6,0,4,1,0.0,0.0,50.0,38,<=50K
81,79,3,213734.0,9,13.0,4,3,1,4,1,0.0,0.0,40.0,38,<=50K
82,80,3,83141.0,15,10.0,5,7,1,4,1,0.0,1876.0,40.0,38,<=50K
83,100,4,223881.0,11,9.0,2,2,0,4,1,99999.0,0.0,50.0,38,>50K
84,87,5,113752.0,15,10.0,2,2,0,4,1,0.0,0.0,50.0,38,<=50K
85,99,3,170482.0,11,9.0,5,6,1,4,0,0.0,0.0,44.0,38,<=50K
86,76,0,244689.0,1,7.0,4,7,3,4,0,0.0,0.0,10.0,38,<=50K
87,111,3,160631.0,11,9.0,2,11,0,4,1,0.0,0.0,56.0,38,>50K
88,80,0,228724.0,15,10.0,4,1,1,4,1,0.0,0.0,40.0,38,<=50K
89,97,3,38434.0,12,14.0,2,9,5,4,0,7688.0,0.0,10.0,38,>50K
90,115,3,292946.0,9,13.0,4,3,1,4,0,0.0,0.0,25.0,38,<=50K
91,105,0,77443.0,5,4.0,4,7,1,2,1,0.0,0.0,20.0,38,<=50K
92,89,3,176410.0,12,14.0,2,9,5,4,0,5178.0,0.0,10.0,38,>50K
93,115,0,98984.0,9,13.0,0,0,1,4,1,0.0,0.0,40.0,38,<=50K
94,90,3,198751.0,12,14.0,4,7,1,0,1,0.0,0.0,40.0,38,<=50K
95,76,3,479296.0,11,9.0,4,5,3,4,1,0.0,0.0,40.0,38,<=50K
96,81,3,235218.0,9,13.0,4,3,3,4,0,0.0,0.0,40.0,38,<=50K
97,105,3,164877.0,0,6.0,2,4,0,4,1,0.0,0.0,40.0,38,<=50K
98,115,3,272087.0,11,9.0,2,13,0,4,1,0.0,0.0,40.0,38,>50K
99,76,3,169699.0,11,9.0,4,0,1,4,0,0.0,0.0,40.0,38,<=50K
100,107,3,189762.0,15,10.0,2,9,5,4,0,0.0,0.0,18.0,38,<=50K
101,89,3,202191.0,15,10.0,4,0,4,2,0,0.0,0.0,35.0,38,<=50K
102,78,3,212261.0,15,10.0,4,13,3,2,1,0.0,0.0,39.0,38,<=50K
103,114,5,301568.0,6,5.0,6,7,1,4,0,0.0,0.0,40.0,38,<=50K
104,108,1,155233.0,11,9.0,6,0,4,4,0,0.0,0.0,28.0,38,<=50K
105,92,3,75826.0,0,6.0,5,6,1,4,0,0.0,0.0,40.0,38,<=50K
106,97,1,201520.0,11,9.0,2,10,0,4,1,0.0,0.0,40.0,38,<=50K
107,84,3,154236.0,11,9.0,4,13,3,4,1,2597.0,0.0,40.0,38,<=50K
108,75,3,289227.0,15,10.0,4,5,3,2,1,0.0,0.0,16.0,38,<=50K
109,74,3,217439.0,11,9.0,4,7,1,4,0,0.0,0.0,28.0,38,<=50K
110,74,3,179020.0,11,9.0,4,6,3,4,0,0.0,0.0,48.0,38,<=50K
111,84,3,149624.0,15,10.0,2,2,0,4,1,0.0,0.0,40.0,38,<=50K
112,85,3,337266.0,8,11.0,2,3,0,4,1,0.0,0.0,40.0,38,>50K
113,76,3,30796.0,11,9.0,4,9,3,4,0,0.0,0.0,20.0,38,<=50K
114,96,3,103541.0,15,10.0,2,5,0,4,1,0.0,0.0,40.0,38,<=50K
115,82,3,206721.0,11,9.0,4,5,4,4,1,0.0,0.0,40.0,38,<=50K
116,102,3,96773.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,38,<=50K
117,79,3,200967.0,1,7.0,4,7,1,4,0,0.0,0.0,24.0,38,<=50K
118,100,3,180019.0,11,9.0,3,0,4,4,0,0.0,0.0,40.0,38,<=50K
119,99,3,179866.0,9,13.0,0,11,4,4,0,0.0,0.0,40.0,38,>50K
120,87,1,198770.0,9,13.0,0,9,4,4,0,0.0,0.0,60.0,38,<=50K
121,74,3,219256.0,15,10.0,4,11,3,4,0,0.0,0.0,25.0,38,<=50K
122,75,3,248730.0,15,10.0,4,10,3,4,1,0.0,0.0,30.0,38,<=50K
123,97,3,110732.0,15,10.0,0,12,1,4,0,0.0,0.0,40.0,38,<=50K
124,97,3,181020.0,11,9.0,0,5,4,4,0,0.0,0.0,40.0,38,<=50K
125,125,3,183791.0,11,9.0,0,0,1,4,0,0.0,0.0,25.0,38,<=50K
126,104,0,42972.0,10,16.0,2,9,5,4,0,0.0,0.0,40.0,38,>50K
127,84,3,134813.0,11,9.0,4,9,3,4,1,0.0,0.0,40.0,38,<=50K
128,83,5,115438.0,11,9.0,2,2,0,4,1,0.0,0.0,60.0,20,>50K
129,97,3,239296.0,12,14.0,2,9,0,4,1,0.0,2415.0,50.0,38,>50K
130,97,3,428420.0,15,10.0,2,0,0,4,1,0.0,0.0,40.0,38,<=50K
131,80,3,247846.0,11,9.0,4,2,4,2,0,0.0,0.0,40.0,38,<=50K
132,76,3,334105.0,11,9.0,4,9,1,4,0,0.0,0.0,40.0,38,<=50K
133,98,4,100793.0,10,16.0,2,9,0,4,1,0.0,0.0,41.0,38,>50K
134,113,3,244478.0,11,9.0,2,2,0,2,1,0.0,0.0,48.0,38,<=50K
135,86,3,142921.0,7,12.0,4,9,1,4,0,0.0,0.0,40.0,38,<=50K
136,92,3,182863.0,11,9.0,2,11,0,4,1,0.0,0.0,60.0,38,>50K
137,105,3,171128.0,5,4.0,2,6,0,2,1,0.0,0.0,40.0,38,<=50K
138,89,3,145402.0,11,9.0,2,6,5,4,0,0.0,0.0,35.0,38,<=50K
139,79,3,306309.0,0,6.0,2,4,0,4,1,0.0,0.0,40.0,38,<=50K
140,102,3,83822.0,12,14.0,2,9,0,4,1,0.0,0.0,40.0,38,<=50K
141,74,3,262118.0,15,10.0,4,0,3,1,0,0.0,0.0,22.0,10,<=50K
142,96,3,155972.0,11,9.0,2,3,0,4,1,7688.0,0.0,55.0,38,>50K
143,99,4,214503.0,11,9.0,2,3,0,4,1,0.0,1887.0,45.0,38,>50K
144,90,3,159303.0,12,14.0,4,9,3,4,0,0.0,0.0,30.0,38,<=50K
145,103,5,174995.0,11,9.0,6,3,1,4,0,0.0,0.0,30.0,38,<=50K
146,100,3,26669.0,8,11.0,6,3,4,4,0,0.0,0.0,30.0,38,<=50K
147,89,3,177727.0,11,9.0,2,11,0,4,1,0.0,0.0,40.0,38,>50K
148,111,3,124771.0,9,13.0,2,3,0,4,1,15024.0,0.0,50.0,38,>50K
149,75,3,456736.0,11,9.0,4,11,1,4,1,2907.0,0.0,30.0,38,<=50K
150,84,3,216604.0,15,10.0,4,7,1,2,1,0.0,0.0,14.0,38,<=50K
151,83,3,221561.0,1,7.0,2,7,5,2,0,0.0,0.0,32.0,38,<=50K
152,106,3,114564.0,5,4.0,2,6,0,4,1,0.0,0.0,20.0,38,<=50K
153,78,3,315476.0,1,7.0,4,2,4,4,1,0.0,0.0,40.0,38,<=50K
154,96,6,67874.0,9,13.0,2,0,0,4,1,0.0,1887.0,45.0,38,>50K
155,81,3,126110.0,15,10.0,4,0,3,4,0,0.0,0.0,40.0,38,<=50K
156,82,1,102264.0,11,9.0,4,2,1,4,1,0.0,0.0,40.0,38,<=50K
157,78,3,537222.0,9,13.0,4,11,1,4,1,0.0,0.0,25.0,38,<=50K
158,98,3,113732.0,15,10.0,4,5,4,2,0,0.0,625.0,40.0,38,<=50K
159,94,4,93225.0,9,13.0,0,3,1,4,1,0.0,0.0,40.0,38,<=50K
160,111,3,43064.0,1,7.0,2,7,0,4,1,0.0,0.0,30.0,38,<=50K
161,88,3,136921.0,11,9.0,2,11,0,4,1,0.0,0.0,40.0,38,<=50K
162,78,3,388885.0,11,9.0,2,2,0,4,1,0.0,0.0,45.0,38,<=50K
163,85,3,142249.0,9,13.0,4,11,3,4,1,0.0,0.0,40.0,38,<=50K
164,102,6,56841.0,12,14.0,2,3,0,4,1,0.0,0.0,45.0,38,>50K
165,87,3,156493.0,15,10.0,2,3,0,4,1,0.0,0.0,40.0,38,>50K
166,114,5,159021.0,10,16.0,2,9,0,4,1,0.0,0.0,16.0,38,>50K
167,98,3,190910.0,11,9.0,2,2,0,4,1,0.0,0.0,45.0,38,<=50K
168,74,3,41879.0,11,9.0,4,5,4,4,1,0.0,0.0,25.0,38,<=50K
169,114,1,137249.0,11,9.0,0,3,1,4,1,0.0,0.0,33.0,38,<=50K
170,110,3,236157.0,11,9.0,2,9,0,4,1,0.0,1887.0,40.0,38,>50K
171,90,3,189759.0,12,14.0,4,9,1,4,1,0.0,0.0,40.0,38,<=50K
172,82,3,239877.0,9,13.0,4,0,1,4,0,0.0,0.0,40.0,38,<=50K
173,117,3,21175.0,2,8.0,2,3,0,4,1,0.0,0.0,60.0,38,<=50K
174,104,1,67229.0,12,14.0,5,0,4,2,0,0.0,0.0,40.0,38,<=50K
175,92,3,236391.0,15,10.0,2,3,0,4,1,0.0,0.0,45.0,38,>50K
176,80,3,325596.0,8,11.0,2,6,0,4,1,0.0,0.0,45.0,38,<=50K
177,96,3,83411.0,15,10.0,2,6,0,4,1,0.0,0.0,37.0,38,<=50K
178,89,4,154227.0,11,9.0,2,11,0,4,1,0.0,0.0,50.0,38,>50K
179,93,3,248010.0,15,10.0,2,6,0,4,1,0.0,1887.0,40.0,38,>50K
180,90,3,198613.0,12,14.0,4,3,3,4,1,4650.0,0.0,40.0,38,<=50K
181,112,4,321529.0,15,10.0,2,3,0,4,1,15024.0,0.0,40.0,38,>50K
182,84,3,168524.0,11,9.0,2,9,3,4,0,0.0,0.0,38.0,38,>50K
183,93,3,203079.0,9,13.0,6,3,1,4,0,0.0,0.0,55.0,38,<=50K
184,100,3,284652.0,11,9.0,0,11,4,2,0,0.0,0.0,40.0,38,<=50K
185,120,3,201368.0,15,10.0,2,9,0,4,1,0.0,0.0,8.0,38,<=50K
186,110,3,59840.0,11,9.0,0,5,1,4,1,0.0,0.0,45.0,38,<=50K
187,79,3,52753.0,11,9.0,4,6,1,4,1,0.0,0.0,50.0,38,<=50K
188,90,6,513100.0,9,13.0,3,4,1,2,1,0.0,0.0,40.0,38,<=50K
189,78,3,199266.0,11,9.0,4,7,1,4,0,0.0,0.0,45.0,38,<=50K
190,89,3,196385.0,9,13.0,2,3,0,4,1,0.0,1977.0,40.0,38,>50K
191,95,3,163205.0,9,13.0,5,9,1,4,1,0.0,0.0,50.0,38,>50K
192,103,3,411047.0,15,10.0,0,0,1,2,0,0.0,0.0,37.0,38,<=50K
193,135,3,48574.0,5,4.0,6,9,1,4,1,0.0,0.0,40.0,38,<=50K
194,82,3,209440.0,11,9.0,4,9,4,2,0,0.0,0.0,55.0,38,<=50K
195,87,3,56964.0,15,10.0,0,3,4,4,0,0.0,0.0,40.0,38,<=50K
196,100,3,299197.0,15,10.0,4,13,1,4,1,0.0,0.0,45.0,38,<=50K
197,98,4,240628.0,14,15.0,2,9,5,4,0,0.0,0.0,50.0,38,>50K
198,75,3,355313.0,11,9.0,4,6,1,4,0,0.0,0.0,40.0,38,<=50K
199,83,3,132267.0,11,9.0,2,5,0,4,1,0.0,0.0,40.0,38,>50K
200,107,1,174861.0,15,10.0,2,10,0,4,1,0.0,0.0,40.0,38,>50K
201,84,4,142443.0,9,13.0,2,3,0,4,1,0.0,0.0,50.0,38,<=50K
202,113,3,26716.0,9,13.0,0,2,1,4,1,0.0,0.0,45.0,38,<=50K
203,101,1,185588.0,9,13.0,0,9,4,4,0,0.0,0.0,40.0,38,<=50K
204,106,3,175029.0,8,11.0,2,9,0,4,1,0.0,0.0,40.0,38,>50K
205,90,4,34848.0,9,13.0,2,11,0,4,1,0.0,0.0,54.0,38,<=50K
206,101,3,411273.0,5,4.0,2,2,0,2,1,0.0,0.0,40.0,38,<=50K
207,129,1,143437.0,11,9.0,2,3,0,4,1,0.0,0.0,20.0,38,<=50K
208,90,3,357145.0,9,13.0,2,9,5,4,0,0.0,0.0,50.0,38,>50K
209,87,3,236861.0,15,10.0,2,11,0,4,1,0.0,0.0,55.0,38,>50K
210,75,3,53355.0,1,7.0,4,11,1,4,1,0.0,0.0,12.0,38,<=50K
211,81,3,29106.0,15,10.0,4,7,3,4,0,0.0,0.0,50.0,38,<=50K
212,94,0,213274.0,8,11.0,0,2,4,4,0,6497.0,0.0,40.0,38,<=50K
213,95,3,22463.0,9,13.0,2,13,0,4,1,0.0,0.0,40.0,38,<=50K
214,79,3,180497.0,9,13.0,4,12,3,2,0,0.0,0.0,32.0,38,<=50K
215,105,3,37306.0,11,9.0,2,6,0,4,1,0.0,0.0,40.0,38,<=50K
216,89,0,137814.0,11,9.0,4,7,1,4,1,0.0,0.0,32.0,38,<=50K
217,77,3,447488.0,4,3.0,4,6,2,4,1,0.0,0.0,38.0,25,<=50K
218,87,3,220915.0,8,11.0,5,2,1,4,1,0.0,0.0,40.0,38,<=50K
219,79,3,42251.0,9,13.0,4,3,1,4,0,0.0,0.0,45.0,38,<=50K
220,90,3,162312.0,9,13.0,2,0,0,1,1,0.0,0.0,40.0,29,<=50K
221,81,3,77698.0,11,9.0,4,6,1,1,0,0.0,0.0,40.0,29,<=50K
222,95,3,282951.0,11,9.0,4,2,4,4,1,0.0,0.0,40.0,38,<=50K
223,108,4,311259.0,11,9.0,2,11,0,4,1,0.0,0.0,40.0,38,>50K
224,119,1,65479.0,6,5.0,2,13,0,4,1,7688.0,0.0,40.0,38,>50K
225,97,3,277256.0,15,10.0,2,2,0,4,1,0.0,0.0,40.0,38,<=50K
226,102,3,312088.0,9,13.0,2,9,0,4,1,15024.0,0.0,38.0,38,>50K
227,109,1,169719.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,38,<=50K
228,81,3,270276.0,6,5.0,5,9,1,4,0,1055.0,0.0,40.0,38,<=50K
229,133,3,172744.0,15,10.0,2,9,0,4,1,0.0,0.0,35.0,38,<=50K
230,74,3,96869.0,2,8.0,4,8,3,4,1,0.0,0.0,40.0,38,<=50K
231,94,3,237943.0,14,15.0,2,9,0,4,1,0.0,0.0,50.0,38,<=50K
232,111,3,119751.0,12,14.0,4,3,4,1,0,0.0,0.0,50.0,36,<=50K
233,90,3,236861.0,11,9.0,2,12,0,4,1,0.0,0.0,40.0,38,>50K
234,136,5,201092.0,11,9.0,2,7,0,4,1,0.0,0.0,30.0,38,<=50K
235,90,3,147215.0,8,11.0,0,12,4,4,0,0.0,0.0,60.0,38,<=50K
236,108,3,152373.0,15,10.0,2,12,0,4,1,5013.0,0.0,40.0,38,<=50K
237,98,3,227968.0,11,9.0,4,7,4,2,0,0.0,0.0,28.0,13,<=50K
238,82,3,362617.0,15,10.0,4,11,1,4,0,0.0,0.0,40.0,38,<=50K
239,87,3,103435.0,11,9.0,2,13,0,4,1,0.0,0.0,40.0,38,<=50K
240,81,1,281412.0,11,9.0,4,7,3,4,0,0.0,0.0,35.0,38,<=50K
241,111,5,105239.0,11,9.0,2,2,0,4,1,0.0,2057.0,60.0,38,<=50K
242,75,3,230165.0,15,10.0,4,7,3,4,0,0.0,0.0,12.0,38,<=50K
243,118,5,177493.0,15,10.0,2,13,0,4,1,0.0,0.0,32.0,38,<=50K
244,78,0,104443.0,15,10.0,4,0,3,4,0,0.0,0.0,20.0,38,<=50K
245,95,3,110342.0,11,9.0,2,9,5,4,0,0.0,0.0,50.0,38,<=50K
246,91,3,143385.0,11,9.0,2,5,0,4,1,0.0,0.0,40.0,38,<=50K
247,84,3,107189.0,11,9.0,2,11,3,4,0,0.0,0.0,40.0,38,<=50K
248,103,3,212944.0,11,9.0,2,13,0,4,1,0.0,0.0,70.0,38,>50K
249,100,6,138634.0,11,9.0,2,6,0,4,1,0.0,0.0,40.0,38,<=50K
250,77,3,99970.0,15,10.0,4,11,3,4,1,0.0,0.0,15.0,38,<=50K
251,91,3,203717.0,8,11.0,4,2,1,4,1,0.0,0.0,50.0,38,<=50K
252,80,3,313956.0,9,13.0,2,9,0,4,1,0.0,0.0,40.0,38,>50K
253,98,0,177937.0,9,13.0,4,9,1,4,1,0.0,0.0,40.0,38,<=50K
254,84,3,193868.0,9,13.0,4,12,3,4,1,0.0,0.0,50.0,38,<=50K
255,77,3,250939.0,15,10.0,4,6,2,4,1,0.0,0.0,35.0,38,<=50K
256,118,0,57629.0,15,10.0,0,12,1,2,1,4650.0,0.0,40.0,38,<=50K
257,95,3,281768.0,11,9.0,4,7,1,2,0,0.0,0.0,40.0,38,<=50K
258,86,6,260782.0,11,9.0,4,7,1,4,1,0.0,0.0,40.0,38,<=50K
259,128,5,243769.0,14,15.0,4,9,1,4,1,0.0,1429.0,20.0,38,<=50K
260,106,3,109937.0,15,10.0,2,3,5,4,0,0.0,0.0,50.0,38,<=50K
261,84,1,134890.0,12,14.0,4,9,1,4,1,0.0,0.0,40.0,38,<=50K
262,85,3,100293.0,15,10.0,4,9,1,4,0,0.0,0.0,40.0,38,<=50K
263,82,3,132179.0,9,13.0,4,0,3,4,0,0.0,0.0,40.0,38,<=50K
264,83,3,116372.0,12,14.0,4,3,1,4,0,0.0,0.0,40.0,38,<=50K
265,85,3,255412.0,15,10.0,2,5,0,4,1,3103.0,0.0,40.0,38,>50K
266,117,3,195789.0,11,9.0,2,9,0,4,1,0.0,0.0,40.0,38,<=50K
267,85,3,342400.0,0,6.0,2,2,0,4,1,0.0,0.0,25.0,38,<=50K
268,77,3,65481.0,15,10.0,4,9,3,4,0,0.0,0.0,30.0,38,<=50K
269,87,3,169085.0,1,7.0,2,11,5,4,0,0.0,0.0,20.0,38,<=50K
270,81,3,177221.0,11,9.0,2,3,0,4,1,0.0,0.0,75.0,38,<=50K
271,114,3,65325.0,0,6.0,2,13,0,4,1,0.0,0.0,40.0,38,>50K
272,120,3,118944.0,15,10.0,2,3,5,4,0,0.0,0.0,40.0,38,>50K
273,102,6,149337.0,12,14.0,4,3,1,4,1,0.0,0.0,38.0,38,<=50K
274,109,3,237868.0,11,9.0,2,9,0,4,1,0.0,0.0,35.0,38,>50K
275,75,3,106183.0,11,9.0,4,7,3,0,0,0.0,0.0,35.0,38,<=50K
276,98,3,226388.0,11,9.0,0,7,1,2,1,0.0,0.0,52.0,38,<=50K
277,74,3,220754.0,1,7.0,4,5,3,4,1,0.0,0.0,24.0,38,<=50K
278,114,4,204021.0,9,13.0,2,2,0,4,1,15024.0,0.0,50.0,38,>50K
279,76,3,347391.0,15,10.0,4,10,1,2,1,0.0,0.0,60.0,38,<=50K
280,91,0,413930.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,38,>50K
281,88,3,174201.0,11,9.0,2,5,0,4,1,0.0,0.0,38.0,38,>50K
282,79,3,145917.0,11,9.0,4,5,1,4,0,0.0,0.0,25.0,38,<=50K
283,87,3,241797.0,15,10.0,0,12,4,4,0,0.0,0.0,40.0,38,<=50K
284,89,3,265168.0,9,13.0,2,11,0,2,1,0.0,0.0,55.0,38,<=50K
285,97,3,171234.0,15,10.0,4,6,1,4,0,0.0,0.0,48.0,38,<=50K
286,78,3,178452.0,11,9.0,4,6,3,2,1,0.0,0.0,40.0,38,<=50K
287,102,3,157857.0,15,10.0,2,10,0,4,1,0.0,0.0,40.0,38,>50K
288,117,0,512864.0,15,10.0,2,13,0,2,1,0.0,0.0,40.0,38,<=50K
289,86,3,296462.0,11,9.0,4,3,1,2,1,0.0,0.0,40.0,38,<=50K
290,98,3,171615.0,11,9.0,2,3,0,4,1,0.0,0.0,55.0,38,>50K
291,119,3,214071.0,0,6.0,2,5,0,4,1,0.0,0.0,40.0,38,<=50K
292,82,3,172421.0,15,10.0,2,11,0,4,1,0.0,0.0,40.0,38,<=50K
293,98,3,195488.0,0,6.0,0,0,4,4,0,0.0,0.0,40.0,38,<=50K
294,79,3,316841.0,15,10.0,2,7,0,4,1,0.0,0.0,40.0,38,<=50K
295,81,3,236267.0,11,9.0,4,6,4,4,1,0.0,1590.0,40.0,38,<=50K
296,86,3,236543.0,6,5.0,2,7,0,4,1,0.0,0.0,32.0,7,>50K
297,79,3,318483.0,11,9.0,4,11,3,4,1,0.0,0.0,40.0,38,<=50K
298,90,5,163756.0,8,11.0,4,4,1,4,1,27828.0,0.0,60.0,38,>50K
299,86,3,238186.0,11,9.0,2,6,2,4,1,0.0,2057.0,48.0,38,<=50K
300,95,3,329980.0,15,10.0,2,2,0,4,1,0.0,0.0,40.0,38,>50K
301,86,3,169269.0,1,7.0,4,5,2,4,1,0.0,1721.0,38.0,32,<=50K
